"","label"
"FAM174A",NA
"AP2M1",NA
"FAM241B",NA
"FBXO48",NA
"PLAC8L1",NA
"TEX43",NA
"PDE6G",NA
"TSHB",NA
"C5orf24",NA
"TP53AIP1",NA
"OVOL3",NA
"GIP",NA
"TAS2R16",NA
"MIF",NA
"C1orf52",NA
"GSTA5",NA
"TTC32",NA
"NDUFA5",NA
"IFNL1",NA
"MAGEA8",NA
"PIGP",NA
"SIT1",NA
"MS4A2",NA
"RNF183",NA
"STT3B",NA
"ILF3",NA
"IGFL3",NA
"FABP5",NA
"C1orf122",NA
"SMIM23",NA
"C10orf82",NA
"ATP5MG",NA
"MUSTN1",NA
"METTL14",NA
"MS4A3",NA
"HEBP1",NA
"C12orf42",NA
"TAS2R9",NA
"REG3A",NA
"RAB6C",NA
"PDRG1",NA
"MS4A15",NA
"LPCAT2",0
"GIMAP7",NA
"THOC3",NA
"C2CD4D",NA
"GCSAML",NA
"UGDH",NA
"NAT8",NA
"CMTM6",NA
"ANXA2R",NA
"IL31",NA
"NDUFA4",NA
"ZNF581",NA
"PLET1",NA
"UBALD2",NA
"HYPK",NA
"RPRM",NA
"EMC6",NA
"CST11",NA
"PFDN4",NA
"IFNL2",NA
"TEX29",NA
"TEX44",NA
"MRPL54",NA
"DSTN",NA
"TMEM174",NA
"CARNS1",NA
"SRP14",NA
"LOR",NA
"FCGR3B",NA
"TTC26",NA
"FAM153B",NA
"FRG2",NA
"FMC1",NA
"UFM1",NA
"ZNF705A",NA
"EID2",NA
"PLAC8",NA
"FAM104B",NA
"C16orf90",NA
"TMEM170B",NA
"AC009065.1",NA
"MED9",NA
"CSN2",NA
"LCNL1",NA
"RPL22",NA
"HSPE1",NA
"TOMM5",NA
"KRTAP4-9",NA
"SPANXN2",NA
"TMEM61",NA
"CD302",NA
"SAMD5",NA
"SELENOW",NA
"ZBED2",NA
"PANK3",NA
"FKBP15",NA
"CDA",NA
"GTF2IRD2B",NA
"TIMM8A",NA
"FAM241A",NA
"C17orf98",NA
"ARL9",NA
"SIGLEC14",NA
"SORCS3",NA
"TNFRSF13C",NA
"AKAIN1",NA
"PRCD",NA
"CCDC144NL",NA
"RARRES2",NA
"RNASE7",NA
"RPEL1",NA
"CBWD2",NA
"MRGPRX4",NA
"CLC",NA
"IPO11",NA
"MARK1",NA
"TCL1B",NA
"NCOA5",NA
"KCNJ6",NA
"ZNF428",NA
"TEDDM1",NA
"SF3B6",NA
"FABP6",NA
"GPX5",NA
"SEC61B",NA
"CMTM8",NA
"GGACT",NA
"CXCL14",NA
"GCHFR",NA
"CTAGE6",NA
"NINJ1",0
"PPP1R14D",NA
"RPL30",NA
"NNMT",NA
"KRTAP10-2",NA
"TIMM8B",NA
"PSORS1C2",NA
"CXCL16",0
"GNPNAT1",NA
"LBH",NA
"DTD2",NA
"TMEM253",NA
"EBF4",NA
"GRP",NA
"MAGEA3",NA
"PPIA",1
"FUOM",NA
"SNU13",NA
"CD7",NA
"ZNF524",NA
"ACOT13",NA
"TAS2R46",NA
"C20orf27",NA
"MAGEA6",NA
"TSPO2",NA
"NNAT",1
"FOXL2NB",NA
"ZDBF2",NA
"AP5S1",NA
"SPCS3",NA
"HTR5A-AS1",NA
"PLAC1",NA
"TMEM99",NA
"TAS2R42",NA
"ANAPC4",NA
"COX16",NA
"MRPL42",NA
"SMAD1",NA
"NUDT15",NA
"FAM218A",NA
"C21orf62",NA
"TMEM14B",NA
"VMA21",NA
"KHDC1L",NA
"TAS2R40",NA
"DCANP1",NA
"GLOD5",NA
"UCP2",0
"KIAA1024L",NA
"RNF224",NA
"C12orf54",NA
"AMTN",NA
"TOMM22",NA
"KLRD1",NA
"IFT20",NA
"RIDA",NA
"RPS25",NA
"COMMD10",NA
"FKBP1B",NA
"TPPP2",NA
"S100A1",NA
"VAMP4",NA
"DLEU7",NA
"SSPN",NA
"SUZ12",NA
"TSEN15",NA
"RNF225",NA
"LAMTOR5",NA
"HMGN5",NA
"ZHX1",NA
"XRN1",NA
"HS6ST3",NA
"CDC42BPB",NA
"SERTAD1",NA
"C3orf14",NA
"RFPL4AL1",NA
"UTF1",NA
"IL12A",NA
"LYZL6",NA
"CTF1",NA
"TAC3",NA
"PARM1",NA
"PMM1",NA
"EBLN1",NA
"MRPS16",NA
"C11orf53",NA
"TMEM81",NA
"FRG2B",NA
"SPN",NA
"MAGEC2",NA
"LHX4",NA
"MAP6D1",NA
"LYPD2",NA
"CRCP",NA
"ACKR1",NA
"TMEM221",NA
"CGB7",NA
"CXorf40B",NA
"AGRP",NA
"FAM216B",NA
"CCDC160",NA
"ODF4",NA
"PTGES3L",NA
"IMP3",NA
"CKS2",NA
"C5orf63",NA
"PRAMEF3",NA
"ROPN1",NA
"ITM2A",NA
"PLP2",NA
"C2orf50",NA
"ARL6IP6",NA
"EBLN2",NA
"MIEN1",0
"CHCHD7",0
"C19orf18",NA
"CD47",NA
"STAT6",NA
"PMCH",NA
"TCEAL6",NA
"CCDC126",NA
"TSHZ2",NA
"TEX38",NA
"C1orf158",NA
"FTO",NA
"TMEM252",NA
"TMEM273",NA
"TCAF2",NA
"CBY1",NA
"MMP14",NA
"ANAPC15",NA
"LYSMD2",NA
"ARMCX3",NA
"TREML4",NA
"SAMD13",NA
"IL15RA",NA
"LIME1",NA
"RNASE10",NA
"MS4A8",NA
"ZC3H4",NA
"CRABP1",NA
"C17orf99",NA
"EIF4EBP3",NA
"TIFAB",NA
"KRBOX4",NA
"CMTM2",NA
"ZDHHC11B",NA
"NDUFA11",NA
"CNTF",NA
"TMEM86B",NA
"TMEM187",NA
"C15orf48",NA
"FCGR2B",NA
"HS6ST1",NA
"NBL1",NA
"NBPF10",NA
"TPGS1",NA
"RNF7",NA
"IL33",NA
"NPM3",NA
"FABP2",NA
"NDUFA2",NA
"UBQLN4",NA
"EQTN",NA
"LSM7",NA
"ULBP2",NA
"PCLAF",NA
"MTCP1",NA
"IKBKG",NA
"LPL",NA
"IL36G",NA
"PLA2G2C",NA
"NACA2",NA
"KRTAP10-1",NA
"ENO3",NA
"BOK",NA
"SNHG28",NA
"TNFSF4",NA
"RFPL4A",NA
"MCRIP2",NA
"DAD1",NA
"LCN1",NA
"LGALS16",NA
"NPIPB11",NA
"TMEM69",NA
"NUDT8",NA
"IL26",NA
"EDDM3A",NA
"VAMP8",NA
"SLC2A8",NA
"LIN52",NA
"FXYD6",NA
"GATS",NA
"BET1L",NA
"HCFC1R1",0
"PPP1R1B",NA
"SLC7A11",NA
"MSGN1",NA
"EIF1AX",NA
"SAA2",NA
"ASPRV1",NA
"SLC30A5",NA
"RPS29",NA
"CEBPD",NA
"C12orf74",NA
"OBP2B",NA
"DIO3",NA
"TNFAIP8",NA
"VHLL",NA
"AC011484.1",NA
"MAGEB18",NA
"SCARA5",NA
"CNIH1",NA
"C3orf80",NA
"FAM86C1",NA
"ABRACL",NA
"KRTAP10-11",NA
"BEX3",NA
"GP9",NA
"INTS1",NA
"MTURN",NA
"SMIM4",NA
"HTRA2",NA
"SELENOV",NA
"RPP38",NA
"TRNP1",NA
"RPA4",NA
"FAM183A",NA
"AURKAIP1",0
"EIF1AD",NA
"TIMM9",NA
"FFAR3",NA
"C4B",NA
"KLRG1",NA
"RELL1",NA
"DUS2",NA
"MFSD6",NA
"RGS13",NA
"UBE2V2",NA
"ACYP1",NA
"TCEAL5",NA
"PPP1R27",NA
"NUDT2",NA
"CRIP1",NA
"PNMA8A",NA
"HIGD2A",NA
"ANO6",NA
"ULBP3",NA
"SECTM1",NA
"PLLP",NA
"RPS19BP1",NA
"MCTS1",NA
"MRGPRX3",NA
"C17orf97",NA
"C1orf194",NA
"BORCS8",NA
"TBCA",NA
"PRM2",NA
"BANF1",NA
"TXNL4B",NA
"POTEM",NA
"CDR1",NA
"BOP1",NA
"THEM5",NA
"GAST",NA
"BTF3L4",NA
"SHISAL2B",NA
"SYNJ2BP",NA
"ANKRD66",NA
"SDHAF3",0
"EIF4A1",NA
"RBP1",NA
"IL17B",NA
"CKS1B",NA
"C17orf49",NA
"OPTC",NA
"TMEM233",NA
"CSF3",NA
"COX7A1",NA
"MORF4L2",NA
"PLGRKT",NA
"DYDC2",NA
"TCEAL2",NA
"GSKIP",NA
"PFDN5",NA
"POLR2I",NA
"CYREN",NA
"NSMCE2",NA
"LSM2",0
"TMEM219",0
"LY6G5B",NA
"CXorf21",NA
"MGST1",NA
"TUSC2",NA
"KRTCAP3",NA
"ASXL1",NA
"MB",NA
"TAF10",NA
"GPX8",NA
"S100A2",NA
"TM4SF18",NA
"COMMD5",NA
"SLC31A2",NA
"TMEM37",NA
"PLA2G1B",NA
"CCL23",NA
"FAM9A",NA
"KLLN",NA
"SIAH3",NA
"VAMP2",NA
"IFITM2",NA
"KLRC2",NA
"CHCHD5",NA
"KRTAP9-1",NA
"ID4",NA
"KRTDAP",NA
"LYZL4",NA
"ID2",NA
"TRIM49",NA
"PDCD1LG2",NA
"VSTM5",NA
"NUDT14",0
"KRTAP10-12",NA
"DNAJB8",NA
"RTP2",NA
"KRTAP10-8",NA
"PTPRCAP",NA
"GOLT1A",NA
"REG1B",NA
"LCN9",NA
"SCOC",NA
"FAM209B",NA
"TCTEX1D2",NA
"UTP14A",NA
"GABBR1",NA
"KAT8",NA
"FAM210B",NA
"C20orf85",NA
"C9orf152",NA
"HHLA3",NA
"MMP28",NA
"CCL25",NA
"NUP88",NA
"SLC23A2",NA
"LZIC",NA
"SNX12",NA
"C10orf67",NA
"NAP1L5",NA
"PDZD11",NA
"RPS21",NA
"ZNF705G",NA
"AIF1",0
"UQCRH",NA
"RPL36A",NA
"KCNMB4",NA
"ARL14EPL",NA
"POTEI",NA
"CD58",NA
"TMEM156",NA
"VXN",NA
"ERFE",NA
"DPY30",NA
"MS4A4A",NA
"PRAMEF4",NA
"DEPDC4",NA
"GKN1",NA
"SENP8",NA
"SAA1",NA
"SSX3",NA
"CXorf40A",NA
"PCSK1N",0
"SLC15A2",NA
"ACYP2",NA
"BCL2L15",NA
"C6orf52",NA
"C17orf96",NA
"FAM71C",NA
"PIGH",NA
"TAS2R7",NA
"MS4A7",NA
"ZNRD1",NA
"RNF222",NA
"PLA2G2D",NA
"GPX1",0
"FAM174B",NA
"DIRAS3",NA
"C3orf62",NA
"INMT",0
"TNFSF18",NA
"MEA1",NA
"C4A",NA
"COX7A2L",NA
"CCDC152",NA
"ULBP1",NA
"PGPEP1L",NA
"LRRC10",NA
"NINJ2",NA
"PIFO",NA
"SCIMP",NA
"CCZ1B",NA
"MAGEB4",NA
"PAIP2B",NA
"LYRM9",NA
"CCL14",NA
"IL17F",NA
"LRRC37A2",NA
"PRR23B",NA
"CSTL1",NA
"PFDN6",NA
"TMEM218",NA
"MAGEB2",NA
"CROT",NA
"CAMK2N2",NA
"APOL6",NA
"CAMSAP1",NA
"MAS1L",NA
"MARCKS",1
"GSTA3",NA
"ARMH2",NA
"SRPX2",NA
"RNF24",NA
"MAGEB5",NA
"TMEM107",NA
"FAM180B",NA
"DAOA",NA
"CHCHD1",NA
"FNDC8",NA
"CDK2AP1",NA
"MAGEB3",NA
"SPATA9",NA
"TSPAN16",NA
"RLN1",NA
"EVA1B",NA
"DDX5",1
"ORC1",NA
"ALAD",NA
"NEDD8",0
"TMEM126A",NA
"JPT2",NA
"AMY1C",NA
"ASCL5",NA
"SNRPC",NA
"SLC6A9",NA
"TM4SF20",NA
"KRTAP4-11",NA
"HEG1",NA
"LURAP1L",NA
"RGS21",NA
"RNF11",NA
"CCDC188",NA
"CALY",NA
"GPX2",NA
"PPP1R14C",NA
"TMEM213",NA
"FAM209A",NA
"IQCF6",NA
"CFAP126",NA
"TAS2R10",NA
"SHISA4",NA
"CLEC4E",NA
"C1orf226",NA
"C11orf88",NA
"MS4A4E",NA
"GM2A",NA
"C5orf52",NA
"TAS2R39",NA
"AGO1",NA
"HIST1H1T",NA
"TSLP",NA
"NUP107",NA
"GEMIN7",NA
"RNASE4",NA
"GPIHBP1",NA
"C10orf95",NA
"KLRF1",NA
"SNRPA",NA
"COX5B",NA
"TMEM65",NA
"CALML6",NA
"MS4A6A",NA
"ANG",NA
"DYNLL2",NA
"LECT2",NA
"PDCL2",NA
"CDV3",NA
"TCTEX1D1",NA
"TNFSF8",NA
"EDDM3B",NA
"LCN12",NA
"CD300LD",NA
"RLN2",NA
"CASC10",NA
"GPR141",NA
"IGSF6",0
"SPINK5",NA
"DEPP1",NA
"TSR2",0
"LTA",NA
"RD3",NA
"GRK5",NA
"ARRDC5",NA
"BEX4",NA
"SNURF",NA
"CLEC12A",NA
"TMEM123",0
"IRF3",NA
"GCSAM",NA
"ERP27",NA
"NSG1",1
"DNAJC15",NA
"CCDC85B",NA
"KRTAP10-9",NA
"KRTCAP2",NA
"ATP6V1G3",NA
"FXYD1",NA
"OMP",NA
"CTAG2",NA
"CCRL2",NA
"PSMD10",NA
"COMMD2",NA
"DPPA5",NA
"OTUD6A",NA
"FAM169B",NA
"RPL32",NA
"SRP9",NA
"LCN10",NA
"KIAA0895",NA
"CHCHD10",NA
"CCDC171",NA
"TAS2R60",NA
"HSPB11",NA
"SPACA7",NA
"B4GALNT3",NA
"LAMTOR1",NA
"MBL2",NA
"HIST3H3",NA
"PRAP1",NA
"METTL3",NA
"SLC22A18AS",NA
"CBWD1",NA
"GLRX2",NA
"SNX3",NA
"APOC3",NA
"NANOGNB",NA
"IL25",NA
"BAALC",NA
"CARD16",NA
"OCM",NA
"CEBPG",NA
"C1orf105",NA
"ATP5PF",NA
"PRND",NA
"MAGEA12",NA
"MAGEA10",NA
"IL1RN",NA
"VGLL1",NA
"PHLDA2",NA
"CNTD2",NA
"IL24",NA
"ACVR2A",NA
"ELOB",NA
"BATF",NA
"POLR3G",NA
"DYNLL1",NA
"JUND",NA
"CD160",NA
"FAM207A",NA
"APOD",NA
"LYRM2",NA
"IMMP2L",NA
"CISD1",NA
"AC005841.1",NA
"RRP15",NA
"LGALS9C",NA
"DRAP1",NA
"OPRPN",NA
"MS4A1",NA
"UTS2B",NA
"APOOL",NA
"CLRN3",NA
"ZNF444",NA
"CMTM1",NA
"MCEE",NA
"BOLA3",NA
"PMP2",NA
"TNFSF9",NA
"TEX47",NA
"DYDC1",NA
"OCIAD2",NA
"AL121963.1",NA
"C14orf119",NA
"DNAL1",NA
"TSKU",NA
"SPATA46",NA
"CCDC28B",NA
"MANSC4",NA
"BCAS4",NA
"PRXL2C",NA
"SSC4D",NA
"MS4A10",NA
"TEX30",NA
"UBL5",NA
"CGGBP1",NA
"SIGLECL1",NA
"TMEM170A",NA
"SSX5",NA
"LYRM4",NA
"TMEM17",NA
"EPGN",NA
"PIGF",NA
"LCN6",NA
"MIS18A",NA
"C2orf74",NA
"ARL16",NA
"DCAF16",NA
"BID",NA
"TMUB1",NA
"XG",NA
"ARHGEF6",NA
"RSPH10B",NA
"TAS2R19",NA
"CCL3L3",NA
"GEMIN6",NA
"TMED2",NA
"MRGPRX2",NA
"HARS2",NA
"C12orf76",NA
"SYNGR4",NA
"FCER1A",NA
"TIMM22",NA
"VSTM1",NA
"MPHOSPH6",NA
"PTGES",NA
"SH2D1B",NA
"C22orf42",NA
"TMEM179B",NA
"TP53INP2",NA
"TBC1D28",NA
"H2BFM",NA
"CD164L2",NA
"ZNF720",NA
"EIF4EBP2",NA
"C8orf82",NA
"CBWD3",NA
"SMIM7",NA
"NOMO2",NA
"ORMDL1",NA
"JPT1",NA
"FPR1",0
"PAXX",NA
"SKA2",NA
"PRH1",NA
"BOLA1",NA
"PFDN1",NA
"SAT2",NA
"NKAIN4",NA
"CDKN2C",NA
"RGS9BP",NA
"C2orf49",NA
"LEPROT",NA
"TCP10L",NA
"EEF1E1",NA
"CIAO2B",NA
"PRH2",NA
"CYLC2",NA
"MED28",NA
"CNFN",NA
"TMEM254",NA
"LRRC26",NA
"CRABP2",NA
"ZC3HAV1L",NA
"RNF223",NA
"HPGDS",0
"CARTPT",NA
"MCOLN3",NA
"AKIP1",NA
"IL1A",NA
"MAL2",NA
"ATP5F1D",NA
"GOLGA8H",NA
"GPS1",0
"KCNRG",NA
"NAT2",NA
"SNRPD2",NA
"KRTAP11-1",NA
"NSG2",NA
"ZG16",NA
"COPRS",NA
"ETFRF1",NA
"C6orf120",NA
"CYP27B1",NA
"MAP1LC3B2",NA
"RNF186",NA
"FAM162A",NA
"KCNQ5",NA
"FAM228A",NA
"LST1",0
"C1orf53",NA
"CD200R1L",NA
"RWDD3",NA
"ZFAND2A",NA
"SPIN3",NA
"MEF2D",NA
"LMNB2",NA
"LSMEM2",NA
"IQCF1",NA
"C19orf84",NA
"SLC35G5",NA
"PPP5D1",NA
"ODF3",NA
"C22orf46",NA
"DAP",NA
"TAS2R20",NA
"GNLY",NA
"ROMO1",NA
"C8orf74",NA
"ALKAL2",NA
"LRRC10B",NA
"LGALS13",NA
"SNRPD1",NA
"CXorf30",NA
"CNIH2",NA
"MTIF2",NA
"PPP3R2",NA
"RNF208",NA
"RRM2",NA
"FAM120AOS",NA
"GTF3C6",NA
"LAPTM5",0
"IL19",NA
"FAM89A",NA
"C20orf202",NA
"POLR2J",NA
"CTNNBIP1",NA
"SAT1",NA
"LCAT",NA
"TIMM13",NA
"ZCCHC10",NA
"FAM3C",NA
"AC026202.1",NA
"EREG",NA
"LY6H",NA
"TMEM31",NA
"C8orf33",NA
"ZNF124",NA
"TMEM54",NA
"OSR1",NA
"TMEM52B",0
"AWAT1",NA
"KNDC1",NA
"GPR160",NA
"COTL1",NA
"LEP",NA
"NRM",NA
"CABCOCO1",NA
"DAB2IP",NA
"TRIM46",NA
"TDGF1",NA
"THEM4",NA
"SPINT3",NA
"NXNL2",NA
"RAB41",NA
"SPATA8",NA
"TMEM190",NA
"ERH",NA
"FGFBP3",NA
"LAMTOR2",NA
"KRTAP10-5",NA
"LY96",0
"CATSPER2",NA
"NXT2",NA
"HNRNPA1L2",NA
"RPL22L1",NA
"CLEC4D",NA
"DUSP21",NA
"FAM122A",NA
"SH3BGRL",NA
"MMAA",NA
"FBXL15",NA
"C8B",NA
"PRR34",NA
"DUSP19",NA
"RFLNA",NA
"TCTEX1D4",NA
"POP7",NA
"C15orf62",NA
"GOLGA6L9",NA
"SH3BGRL2",NA
"CIART",NA
"EBF2",NA
"GMPPB",NA
"CNIH4",NA
"ECHDC3",NA
"CRP",NA
"STAU2",NA
"PDXP",NA
"BRI3",NA
"BTG2",NA
"RFPL4B",NA
"ZCCHC18",NA
"ARIH2OS",NA
"MRPS12",NA
"ALG1",NA
"C17orf58",NA
"DEFB125",NA
"PRR29",NA
"SLC48A1",NA
"FADD",NA
"DNLZ",NA
"LRRC73",NA
"CLEC2B",NA
"SLC35G3",NA
"BIRC8",NA
"SCRT1",NA
"HIKESHI",NA
"PRR22",NA
"IFITM5",NA
"KRTAP24-1",NA
"CLEC2D",NA
"CD80",NA
"TGFA",NA
"TMEM217",NA
"BCL2A1",NA
"HACD4",NA
"IL17A",NA
"SRXN1",NA
"FIBIN",NA
"PTRHD1",0
"CLEC6A",NA
"EPB41L1",NA
"C16orf54",NA
"TFF2",NA
"SORBS3",NA
"VN1R2",NA
"IL17C",NA
"C4orf17",NA
"FMR1NB",NA
"RBP5",NA
"CCDC117",NA
"CTLA4",NA
"MRGPRG",NA
"IFNE",NA
"RNF122",NA
"ARPC5L",NA
"C17orf107",NA
"C16orf45",NA
"FCGR2A",0
"TRAT1",NA
"JOSD2",NA
"SUMO2",NA
"GAL",NA
"SPACA1",NA
"C1orf131",NA
"FANCF",NA
"ADM5",NA
"WFDC5",NA
"BAG2",NA
"NDUFB5",NA
"TMCO2",NA
"DNAJB7",NA
"TCL1A",NA
"POM121L12",NA
"DNAJC6",NA
"CACNA1E",NA
"GABARAPL1",NA
"RAMAC",NA
"FAM133A",NA
"FAM170B",NA
"CPLX3",NA
"TMEM251",NA
"SLC10A5",NA
"LYNX1",NA
"TLNRD1",NA
"THBS2",NA
"PUDP",NA
"C1orf68",NA
"TERB2",NA
"PDCD5",NA
"PCBP1",NA
"ROPN1B",NA
"HINT3",NA
"LCN2",NA
"C3orf70",NA
"MYDGF",0
"REX1BD",NA
"RDM1",NA
"ESM1",NA
"ERP29",NA
"ARPC3",NA
"KLHL40",NA
"DNAL4",NA
"GPR82",NA
"ARL2BP",NA
"FAM177B",NA
"TXNDC17",NA
"COMMD4",NA
"GPR148",NA
"FTL",NA
"TXNDC12",NA
"COX6B2",NA
"C19orf81",NA
"DEFB119",NA
"GIMAP1",NA
"HIP1",NA
"SDHAF4",NA
"CLEC3B",NA
"PGA4",NA
"POLR2D",NA
"RPH3A",NA
"SNAI3",NA
"THY1",NA
"SNRPB2",NA
"NICN1",NA
"RAET1G",NA
"MYL7",NA
"CCDC54",NA
"UBE2QL1",NA
"CETN1",NA
"HSPA6",NA
"TRAPPC5",NA
"SLAMF1",NA
"LGALS14",NA
"GIMAP4",0
"TRAPPC6A",NA
"LGALS1",NA
"ERG28",NA
"TMEM230",NA
"PGLYRP1",NA
"AIM2",NA
"NDUFS6",0
"SREK1IP1",NA
"ARL5C",NA
"GREM2",NA
"USP17L2",NA
"RWDD1",NA
"DR1",NA
"CD8B",NA
"DDIT3",NA
"C19orf38",NA
"PSMG4",NA
"RTP3",NA
"TFDP3",NA
"IL36B",NA
"HBE1",NA
"PCBD1",NA
"GSTO1",NA
"SPX",NA
"FNDC9",NA
"SPCS1",NA
"COMMD6",NA
"CPLX1",NA
"PRSS46P",NA
"CEMP1",NA
"KLF14",NA
"CCZ1",NA
"MRGPRD",NA
"PXDC1",NA
"UBE2U",NA
"SKIL",NA
"SHLD3",NA
"CLDN34",NA
"DYNLT1",NA
"CPLX2",NA
"TBC1D4",NA
"GLYATL2",NA
"LYPLAL1",NA
"TMIGD2",0
"SPA17",NA
"AKAP14",NA
"EIF2B5",NA
"C6orf223",NA
"ID1",NA
"ARMCX2",NA
"PRDX1",NA
"ZNF547",NA
"MOBP",NA
"RFPL1",NA
"FUNDC1",NA
"HAVCR2",0
"ATP6AP2",NA
"TAT",NA
"DRAM1",NA
"NUTF2",NA
"AKAP5",NA
"MRGPRE",NA
"IL11",NA
"CD48",NA
"MKRN2OS",NA
"DDIT4L",NA
"HDHD2",NA
"KCND3",NA
"HIST1H3H",NA
"CCK",NA
"SDC4",NA
"SSR4",NA
"SV2B",NA
"NPIPB15",NA
"ARMC7",NA
"CD69",NA
"GAP43",1
"NREP",NA
"LRRC3",NA
"PGM2",NA
"DNAJC5G",NA
"ZNF552",NA
"PGF",NA
"ATP5PD",NA
"KHDC3L",NA
"VAMP3",NA
"PFDN2",NA
"RGS16",NA
"TAS2R5",NA
"GPR89B",NA
"HBQ1",NA
"NANOS1",NA
"NUDT3",NA
"NPPC",NA
"ZNF615",NA
"IL6",NA
"FAM19A5",NA
"SSNA1",NA
"CYB5A",NA
"SZRD1",NA
"CSN1S1",NA
"PLD6",NA
"ARMCX5",NA
"FSHB",NA
"GPSM3",NA
"NME5",NA
"PHF5A",NA
"IL17D",NA
"SERBP1",NA
"MDK",0
"RWDD4",NA
"PRKX",NA
"ARPC5",NA
"ZC3H12B",NA
"ATP5MC3",NA
"MAP1LC3A",NA
"PTTG1IP",NA
"CENPM",NA
"C17orf51",NA
"NDN",NA
"MCFD2",NA
"EHD3",NA
"TVP23B",NA
"FAM167B",NA
"EFHD1",NA
"SNX29",NA
"GPR89A",NA
"PAM16",NA
"GSTM4",NA
"DNAJC19",NA
"MAGEB10",NA
"CANT1",NA
"FKBP1A",NA
"C11orf58",NA
"CDSN",NA
"TMC6",NA
"RGPD8",NA
"ISG20",NA
"NPM2",NA
"TAAR8",NA
"RD3L",NA
"RBM43",NA
"NDUFA7",NA
"GPBAR1",NA
"TMEM50B",NA
"HMSD",NA
"ARHGAP39",NA
"PDZK1",NA
"GLIPR1L1",NA
"RTL6",NA
"TAOK3",NA
"MAGEF1",NA
"MYEOV",NA
"MSANTD1",NA
"PER1",NA
"GCSH",NA
"RGS10",0
"CLEC7A",NA
"VBP1",NA
"GADD45A",NA
"CLEC1B",NA
"ROPN1L",NA
"KRT75",NA
"BLOC1S2",NA
"HAMP",NA
"CDC42EP3",NA
"CACNG6",NA
"PCSK5",NA
"NANOG",NA
"TBX4",NA
"SDC2",NA
"RTP1",NA
"RPS28",NA
"PROK2",NA
"CCER2",NA
"MCF2L2",NA
"RPL29",NA
"ITGB2",0
"KLF8",NA
"NUDT11",NA
"NKAPD1",NA
"SUSD3",NA
"RIPPLY3",NA
"NHP2",NA
"SPP1",0
"MAGEB1",NA
"HIST1H2AK",NA
"TPPP3",NA
"INSL6",NA
"CPXCR1",NA
"SELPLG",0
"MAGEB17",NA
"PTPN20B",NA
"TRARG1",NA
"DMPK",NA
"ARL11",NA
"CSPP1",NA
"PEA15",NA
"UQCC2",NA
"NFYB",NA
"TALDO1",NA
"FAM219B",NA
"IFT22",NA
"CWC15",NA
"LSM6",NA
"GSTA4",NA
"DPY19L3",NA
"RELL2",NA
"FAM71E1",NA
"BTG4",NA
"FAM220A",NA
"IQCJ",NA
"APCS",NA
"TEX13B",NA
"CBY3",NA
"CXorf56",NA
"ARL6IP5",NA
"ANGPTL8",NA
"MED10",NA
"EIF5A2",NA
"SFT2D1",NA
"FBXO36",NA
"RFXAP",NA
"BSPH1",NA
"MIS12",0
"RNASEK",NA
"KCNMB3",NA
"TPT1",NA
"CCDC190",NA
"ART4",NA
"LAMTOR3",NA
"CMTM4",NA
"XAF1",NA
"COL25A1",NA
"SMCO2",NA
"TXN2",NA
"GOLGA8M",NA
"MYL5",NA
"SDHAF1",NA
"KRT5",NA
"CREG1",NA
"LRRC61",NA
"CITED1",NA
"MED11",NA
"PHPT1",NA
"ZSWIM7",NA
"CDCA5",NA
"SNAPIN",NA
"NANP",NA
"HEBP2",NA
"ELOF1",NA
"CAVIN3",NA
"NDST4",NA
"FRG1",NA
"OOEP",NA
"RFK",NA
"KLHL32",NA
"COA3",NA
"TMEM176A",NA
"TRAF7",NA
"CCDC124",0
"LYZL1",NA
"CKMT1A",NA
"RFPL3",NA
"HIST1H3A",NA
"IFNK",NA
"IQCF3",NA
"SPART",NA
"SFT2D2",NA
"HSPA9",NA
"COA7",NA
"DPM3",NA
"RASAL2",NA
"TMEM35A",NA
"GIMAP5",NA
"RASSF3",NA
"CALHM2",NA
"GSTP1",NA
"LYSMD4",NA
"SPCS2",NA
"BIRC5",0
"PIR",NA
"GPHA2",NA
"C1orf56",NA
"C19orf25",0
"CATSPERZ",NA
"OXER1",NA
"RAP2C",NA
"UBALD1",NA
"RBPMS2",NA
"CCDC172",NA
"AP3S1",NA
"FGFBP2",NA
"UQCRQ",NA
"C6orf203",NA
"C9orf135",NA
"C1orf141",NA
"KIR3DL3",NA
"TRIM37",NA
"PLK5",NA
"JTB",NA
"NAIF1",NA
"CYSLTR2",NA
"C18orf21",NA
"SPACA9",NA
"YBEY",NA
"EVI2A",NA
"POLE4",NA
"PPP1R1A",NA
"CFL1",NA
"SERTAD2",NA
"AGAP5",NA
"PPIH",NA
"NAA80",NA
"MED21",NA
"TOB2",NA
"C17orf78",NA
"KLF13",NA
"GLT6D1",NA
"HES3",NA
"CCDC89",NA
"TIGIT",NA
"CHAC2",NA
"HMGN1",NA
"AGR2",NA
"FAM19A4",NA
"WFDC2",NA
"MID1IP1",NA
"STPG4",NA
"UBE2D4",NA
"TMEM242",NA
"CNRIP1",NA
"C19orf12",NA
"CRADD",NA
"CFAP299",NA
"PROSER2",NA
"PAGR1",NA
"METTL7A",NA
"UBE2L3",NA
"PRADC1",NA
"AKR1B15",NA
"LNP1",NA
"EEF1AKMT1",NA
"LIN28A",NA
"C8orf48",NA
"KRTAP10-7",NA
"PHOSPHO2",NA
"MPC2",NA
